-38.6, 50.6, -14.4
-38.7, 47.2, -10.6
-38.8, 43.8, -6.9
-38.9, 40.3, -3.1
-39.0, 36.8, 0.6
-39.0, 33.3, 4.3
-39.1, 29.7, 8.0
-39.1, 26.2, 11.7
-39.1, 22.6, 15.3
-39.1, 18.9, 18.9
-39.1, 15.3, 22.6
-39.1, 11.7, 26.2
-39.1, 8.0, 29.7
-39.0, 4.3, 33.3
-39.0, 0.6, 36.8
-38.9, -3.1, 40.3
-38.8, -6.9, 43.8
-38.7, -10.6, 47.2
-38.6, -14.4, 50.6
-38.5, -18.2, 54.0
-38.3, -21.9, 57.4
-38.2, -25.7, 60.7
-38.0, -29.5, 64.0
-37.9, -33.3, 67.3
-33.5, 68.7, -39.3
-33.6, 65.4, -35.5
-33.8, 62.1, -31.7
-33.9, 58.8, -27.9
-34.0, 55.4, -24.1
-34.2, 52.1, -20.3
-34.3, 48.7, -16.5
-34.4, 45.2, -12.7
-34.5, 41.8, -9.0
-34.5, 38.3, -5.2
-34.6, 34.8, -1.5
-34.6, 31.2, 2.2
-34.7, 27.7, 5.9
-34.7, 24.1, 9.6
-34.7, 20.5, 13.2
-34.7, 16.9, 16.9
-34.7, 13.2, 20.5
-34.7, 9.6, 24.1
-34.7, 5.9, 27.7
-34.6, 2.2, 31.2
-34.6, -1.5, 34.8
-34.5, -5.2, 38.3
-34.5, -9.0, 41.8
-34.4, -12.7, 45.2
-34.3, -16.5, 48.7
-34.2, -20.3, 52.1
-34.0, -24.1, 55.4
-33.9, -27.9, 58.8
-33.8, -31.7, 62.1
-33.6, -35.5, 65.4
-29.2, 66.8, -41.4
-29.4, 63.5, -37.6
-29.5, 60.2, -33.8
-29.6, 56.9, -30.0
-29.8, 53.5, -26.2
-29.9, 50.1, -22.4
-29.9, 46.7, -18.6
-30.0, 43.2, -14.9
-30.1, 39.8, -11.1
-30.2, 36.3, -7.4
-30.2, 32.7, -3.6
-30.3, 29.2, 0.1
-30.3, 25.6, 3.8
-30.3, 22.0, 7.5
-30.3, 18.4, 11.1
-30.3, 14.8, 14.8
-30.3, 11.1, 18.4
-30.3, 7.5, 22.0
-30.3, 3.8, 25.6
-30.3, 0.1, 29.2
-30.2, -3.6, 32.7
-30.2, -7.4, 36.3
-30.1, -11.1, 39.8
-30.0, -14.9, 43.2
-29.9, -18.6, 46.7
-29.9, -22.4, 50.1
-29.8, -26.2, 53.5
-29.6, -30.0, 56.9
-29.5, -33.8, 60.2
-29.4, -37.6, 63.5
-25.0, 64.9, -43.5
-25.2, 61.6, -39.7
-25.3, 58.3, -35.9
-25.4, 54.9, -32.1
-25.5, 51.5, -28.3
-25.6, 48.1, -24.6
-25.6, 44.7, -20.8
-25.7, 41.2, -17.0
-25.8, 37.7, -13.2
-25.8, 34.2, -9.5
-25.9, 30.7, -5.8
-25.9, 27.1, -2.0
-25.9, 23.6, 1.7
-26.0, 20.0, 5.4
